"Course","Code","Page"
"Introduction to Programming","cmps 200", "profiles/courseProfile.html"
"Introduction to Computing Systems","cmps 205", "profiles/courseProfile.html"
"Computers and Programming for the Arts","cmps206","profiles/courseProfile.html"
"Computers and Programming for the Sciences","cmps209", "profiles/courseProfile.html"
"Discrete Structures","cmps 211", "profiles/courseProfile.html"
"Intermediate Programming with Data Structures","cmps 212", "profiles/courseProfile.html"
"C/C++ Programming","cmps 213", "profiles/courseProfile.html"
"Digital Media Programming","cmps 230", "profiles/courseProfile.html"
"Numerical Computing","cmps 251", "profiles/courseProfile.html"
"Software Engineering","cmps 253", "profiles/courseProfile.html"
"Computer Architecture","cmps 255","profiles/courseProfile.html"
"Algorithms and Data Structures","cmps 256", "profiles/courseProfile.html"
